raceId,year,circuitId,driverId,driver_name,constructorId,constructor_name,grid,positionOrder,points,resultId,number,position,positionText,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,podium,avg_finish_season,points_per_race,podium_count,dnf_flag,constructor_dnf_rate,constructor_avg_points,synergy,rolling_points_driver,win,circuit_win_ratio,positionClass
18,2008,1,1,Lewis Hamilton,1,McLaren,1,1,10.0,1,22,1,1,58,1:34:50.616,5690616,39,2,1:27.452,218.300,1,1,5.222222222222222,10.0,0,False,0.0,4.194444444444445,8.3,10.0,1,1.0,1
18,2008,1,2,Nick Heidfeld,2,BMW Sauber,5,2,8.0,2,3,2,2,58,+5.478,5696094,41,3,1:27.739,217.586,1,1,6.5,8.0,0,False,0.0,3.75,2.3285714285714287,8.0,0,0.0,2
18,2008,1,3,Nico Rosberg,3,Williams,7,3,6.0,3,7,3,3,58,+8.163,5698779,41,5,1:28.090,216.719,1,1,10.88888888888889,6.0,0,False,0.0,0.7222222222222222,1.0785714285714285,6.0,0,0.0,3
18,2008,1,4,Fernando Alonso,4,Renault,11,4,5.0,4,5,4,4,58,+17.181,5707797,58,7,1:28.603,215.464,1,0,7.444444444444445,5.0,0,False,0.0,2.2222222222222223,4.415094339622642,5.0,0,0.0,0
18,2008,1,5,Heikki Kovalainen,1,McLaren,3,5,4.0,5,23,5,5,58,+18.014,5708630,43,1,1:27.418,218.385,1,0,7.888888888888889,4.0,0,False,0.0,4.194444444444445,2.142857142857143,4.0,0,0.0,0
18,2008,1,6,Kazuki Nakajima,3,Williams,13,6,3.0,6,8,6,6,57,\N,\N,50,14,1:29.639,212.974,11,0,12.666666666666666,3.0,0,False,0.0,0.7222222222222222,0.25,3.0,0,0.0,0
18,2008,1,7,Sébastien Bourdais,5,Toro Rosso,17,7,2.0,7,14,7,7,55,\N,\N,54,8,1:29.534,213.224,5,0,14.222222222222221,2.0,0,False,0.0,1.0833333333333333,0.2222222222222222,2.0,0,0.0,0
18,2008,1,8,Kimi Räikkönen,6,Ferrari,15,8,1.0,8,1,8,8,53,\N,\N,20,4,1:27.903,217.180,5,0,7.0,1.0,0,False,0.0,4.777777777777778,7.105263157894737,1.0,0,0.0,0
18,2008,1,9,Robert Kubica,2,BMW Sauber,2,9,0.0,9,4,\N,R,47,\N,\N,15,9,1:28.753,215.100,4,0,5.611111111111111,0.0,0,False,0.0,3.75,2.4035087719298245,0.0,0,0.0,0
18,2008,1,10,Timo Glock,7,Toyota,18,10,0.0,10,12,\N,R,43,\N,\N,23,13,1:29.558,213.166,3,0,10.444444444444445,0.0,0,False,0.0,1.5555555555555556,1.4848484848484849,0.0,0,0.0,0
18,2008,1,11,Takuma Sato,8,Super Aguri,19,11,0.0,11,18,\N,R,32,\N,\N,24,15,1:30.892,210.038,7,0,14.25,0.0,0,False,0.0,0.0,0.10256410256410256,0.0,0,0.0,0
18,2008,1,12,Nelson Piquet Jr.,4,Renault,20,12,0.0,12,6,\N,R,30,\N,\N,20,16,1:31.384,208.907,8,0,13.055555555555555,0.0,0,False,0.0,2.2222222222222223,0.6785714285714286,0.0,0,0.0,0
18,2008,1,13,Felipe Massa,6,Ferrari,4,13,0.0,13,2,\N,R,29,\N,\N,23,6,1:28.175,216.510,5,0,6.055555555555555,0.0,0,False,0.0,4.777777777777778,5.635714285714286,0.0,0,0.0,0
18,2008,1,14,David Coulthard,9,Red Bull,8,14,0.0,14,9,\N,R,25,\N,\N,21,11,1:29.502,213.300,4,0,13.222222222222221,0.0,0,False,0.0,0.8055555555555556,0.8333333333333334,0.0,0,0.0,0
